Date,AAPL,MSFT,JPM,BAC,JNJ,PFE,XOM,CVX,PG,KO
2015-10-01,24.555954,38.627438,46.083523,12.320573,69.345505,18.838469,46.747276,49.513214,53.380184,28.463966
2015-10-02,24.735228,39.458706,45.955044,12.185877,69.911125,19.572128,47.896076,51.542027,53.728859,28.885918
2015-10-05,24.824867,40.376549,46.869473,12.431495,70.528893,19.808792,48.483101,53.109486,54.322403,29.329315
2015-10-06,24.943638,40.480461,46.892132,12.431495,69.531548,19.400541,49.164810,54.980278,54.455929,29.293566
2015-10-07,24.824867,40.523754,46.952602,12.479035,70.692665,19.696383,49.991680,55.694473,54.693340,29.694071
2015-10-08,24.538025,41.086590,46.952602,12.479035,70.767075,19.578047,50.515598,56.825802,55.197842,30.023048
2015-10-09,25.125154,40.792156,46.801460,12.344340,70.982918,19.666794,50.029572,56.610889,55.257210,30.051664
2015-10-12,25.008621,40.696922,46.642761,12.296802,71.444397,19.654961,50.054813,56.086327,55.145916,30.037342
2015-10-13,25.051199,40.601677,46.514271,12.296802,71.042480,19.512962,49.966442,55.858791,54.982693,29.787046
2015-10-14,24.697128,40.419838,45.335365,12.391879,70.357735,19.548462,50.597660,56.730999,55.056885,29.808487
2015-10-15,25.066889,40.705574,46.771221,12.827655,72.307755,20.163786,51.430847,57.337746,55.101387,29.980139
2015-10-16,24.883127,41.138538,47.179310,12.772196,73.119049,20.359032,52.062057,57.698002,55.568798,30.051664
2015-10-19,25.037754,41.233776,47.020611,12.788040,72.895752,20.412287,51.121559,56.901634,55.761711,30.030191
2015-10-20,25.494898,41.363659,47.247318,12.835579,72.635254,20.116455,51.020565,56.876354,55.220100,30.244753
2015-10-21,25.492659,40.870098,46.899696,12.597883,72.665001,19.796957,50.629211,56.459225,55.087627,30.173235
2015-10-22,25.882574,41.588791,47.753647,12.803886,74.079170,19.720047,52.320854,57.906574,56.030796,30.924162
2015-10-23,26.684826,45.779701,48.267540,13.089121,74.659714,20.146046,52.377663,57.666409,57.662697,30.602335
2015-10-26,25.833277,46.974644,48.290215,13.081199,74.384361,20.211119,51.266743,56.105289,58.007053,30.459305
2015-10-27,25.669693,46.489738,48.093723,12.994042,74.570404,20.702202,51.184677,55.429008,57.857330,30.473600
2015-10-28,26.727406,46.740856,49.499355,13.691285,74.786255,20.974365,51.935810,56.749966,57.273430,30.559425
2015-10-29,27.009760,46.204002,49.280201,13.540748,75.448662,20.572033,51.904259,56.813183,57.655220,30.602335
2015-10-30,26.778942,45.580547,48.554707,13.295121,75.195572,20.009958,52.226177,57.438869,57.176113,30.287659
2015-11-02,27.155424,46.100105,49.529587,13.516976,76.044098,20.743612,53.829430,60.017563,57.340820,30.209002
2015-11-03,27.466900,46.888069,49.710960,13.612046,75.887817,20.690363,54.820423,62.027405,57.677681,30.151781
2015-11-04,27.339176,47.104542,49.763855,13.477358,75.872910,20.362329,54.271294,61.161522,57.685162,30.015903
2015-11-05,27.213146,47.087223,50.209721,13.715052,76.163162,20.368290,53.532764,59.758415,57.183617,30.273365
2015-11-06,27.244654,47.554794,51.736279,14.222139,75.858009,20.237076,53.318153,59.429760,56.569782,30.008749
2015-11-09,27.134367,46.896725,50.927650,14.008213,75.054169,20.070074,52.178448,58.348984,56.442547,29.708368
2015-11-10,26.279182,46.333881,51.146805,14.142908,75.508224,20.153570,52.433125,58.924137,56.719486,29.872856
2015-11-11,26.130661,46.455124,50.897427,14.063675,75.813362,20.123747,51.968334,58.266842,56.861748,30.065954
2015-11-12,26.042881,46.169365,49.877201,13.762593,74.629929,19.915003,50.561207,56.794189,55.888580,29.736979
2015-11-13,25.282206,45.753735,49.544689,13.627898,74.339668,19.843428,49.727112,56.048405,55.364582,29.593943
2015-11-16,25.696302,46.559006,50.262619,13.810133,75.337006,19.777819,51.509899,58.505024,56.367645,30.008749
2015-11-17,25.586027,46.175449,49.975445,13.802208,75.545410,19.604849,50.911407,58.236351,56.195496,29.801346
2015-11-18,26.396210,46.942577,50.972992,14.134985,76.416252,19.867285,51.408024,58.991268,56.816803,30.237608
2015-11-19,26.731529,47.021027,51.131691,14.016135,76.282272,19.258921,51.127880,58.108414,57.056347,30.831196
2015-11-20,26.848564,47.238964,51.041012,13.984442,76.837112,19.193317,50.803146,56.944061,56.756920,30.344885
2015-11-23,26.499735,47.238964,50.542229,13.841826,77.054535,18.686344,51.115135,57.583809,56.869213,30.723928
2015-11-24,26.754040,47.291264,50.466671,13.841826,76.507187,19.068062,52.133869,58.441051,57.228527,31.009989
2015-11-25,26.562746,46.803089,50.527126,13.818056,76.447227,19.604849,51.732761,58.133980,56.816803,31.009989
2015-11-27,26.513237,47.012329,50.761398,13.849753,76.754608,19.557133,51.720024,57.814133,56.667088,31.096472
2015-11-30,26.623510,47.378441,50.391109,13.810133,75.907379,19.545210,51.993790,58.421852,56.023331,30.714506
2015-12-01,26.407455,48.136860,51.093906,14.111211,76.747139,20.052181,52.140236,59.163986,56.846752,30.909086
2015-12-02,26.168913,48.128128,50.375996,13.999979,76.514687,19.622744,50.650352,57.737335,56.734478,30.822609
2015-12-03,25.925852,47.247684,49.726063,13.745719,75.569969,19.318571,49.924500,56.841690,56.697029,30.599213
